Case,タイプ,テキスト,出典／役割,音声割り当て,備考
25,セリフ,溢れています！,大学教授（南隠の逸話）,中年男性,07:37
25,セリフ,あなたはこの茶碗と同じだ。自分の意見で満杯になっている。まず茶碗を空にしなさい。さもなくば、何も入らない,南隠全愚,老年男性A,
25,セリフ,お先に失礼します,主人公（着地）,若手女性,08:55 着地
25,セリフ,あなたは何のために働いているのか,アリストテレス（問い）,老年男性B,
26,引用,人生は振り子のように、苦痛と退屈の間を揺れ動く,ショーペンハウアー,老年男性C,
26,引用,"生きる""なぜ""を持つ者は、ほとんどあらゆる""いかに""に耐えられる",ニーチェ（フランクル引用）,老年男性D,
26,引用,随処作主、立処皆真,臨済義玄,老年男性A,原文
26,引用,どこにいようと主人となれ。そうすれば、立つ場所すべてが真実の場所となる,臨済義玄,老年男性B,現代語訳
26,セリフ,来月から、地方の支店に異動してもらう,上司,中年男性,00:04
26,セリフ,来期から、九州の支店に行ってもらいたい,上司,中年男性,01:10
26,セリフ,君の力が必要なんだ,上司,中年男性,01:23
26,セリフ,なぜ、自分なのか,主人公（内心）,若手男性,01:41
27,引用,人は、コミュニケーションしないことができない,ワツラウィック,老年男性C,
27,引用,独立し、融合しない複数の声と意識の多様性,バフチン,老年男性D,
27,引用,この芸とは、衆人愛敬をもて、一座建立の寿福とせり。,世阿弥,老年男性A,
27,セリフ,この会議、本当に必要だったのかな,主人公（内心）,若手女性,00:04
27,セリフ,次回に持ち越しましょう,会議参加者,中年男性,01:33
27,セリフ,そういえば、先週クライアントにこんなことを言われて,同僚（脱線）,若手男性,06:33
28,引用,人間は自由の刑に処されている,サルトル,老年男性B,
28,引用,潛龍勿用,『易経』,老年男性C,原文
28,引用,潜龍、用うるなかれ,『易経』,老年男性D,書き下し
28,引用,飛龍在天,『易経』,老年男性A,原文
28,引用,飛龍、天に在り,『易経』,老年男性B,書き下し
28,セリフ,今の会社も、悪い人たちじゃないし,主人公（内心）,若手女性,01:33
28,セリフ,あと3年いれば、課長になれるかもしれないし,主人公（内心）,若手女性,01:36
28,セリフ,外に出て、通用する保証なんてないし,主人公（内心）,若手女性,01:40
28,セリフ,住宅ローンがあるから辞められない,主人公（自己欺瞞）,若手女性,02:50
28,セリフ,家族がいるから冒険できない,主人公（自己欺瞞）,若手女性,02:50
28,セリフ,辞めるべきか、残るべきか,主人公（問い）,若手女性,07:12
28,セリフ,私は今、潜っているのか、それとも逃げているのか,主人公（新しい問い）,若手女性,07:16
29,引用,私たちが情報を受け取り、処理できる速度には限界がある,ブロードベント,老年男性C,
29,引用,人間の不幸はすべて、部屋の中で静かにじっとしていられないことから起こる,パスカル,老年男性D,
29,引用,若行若坐、唯念一仏,一行三昧,老年男性A,原文
29,引用,歩くときも座るときも、ただ一仏を念ず,一行三昧,老年男性B,書き下し
29,引用,一日不作、一日不食,百丈懐海,老年男性C,
29,引用,われわれは自分だけの、まったく自由な店裏の空間を一つ取っておかねばならない。そこにこそ、真の自由と第一の隠れ家を築くのだ。,モンテーニュ,老年男性D,
29,セリフ,今日、何をしたんだろう,主人公（内心）,若手女性,01:26
30,引用,暗黙知は個人的で、文脈に依存し、それゆえ形式化や伝達が難しい,野中郁次郎,老年男性A,
30,引用,"私は立場を転じ、""やり方を知っている""ことは""事実として知っている""ことに還元できないことを示したい",ライル,老年男性B,
30,引用,不立文字、教外別伝,禅の伝統,老年男性C,
30,引用,文字に立てず、教えの外に別に伝える,禅の伝統,老年男性D,書き下し
30,セリフ,私には正しい教えの眼がある。それを摩訶迦葉に託そう,釈迦,老年男性A,
30,セリフ,あの人なら、どうするか？,主人公（内心）,若手女性,06:02
